Timestamp,Power,Fan,Temperature,Raw Temp Timestamp,First Crack,Second Crack
00:20,5,1,242,1704612940,False,False
00:21,5,1,237,1704612941,False,False
00:22,5,1,249,1704612942,False,False
00:23,5,1,242,1704612943,False,False
00:24,5,1,238,1704612944,False,False
00:25,5,1,244,1704612945,False,False
00:26,5,1,237,1704612946,False,False
00:27,5,1,233,1704612947,False,False
00:28,5,1,248,1704612948,False,False
00:29,5,1,250,1704612949,False,False
00:30,5,1,233,1704612950,False,False
00:31,5,1,235,1704612951,False,False
00:32,5,1,238,1704612952,False,False
00:33,5,1,238,1704612953,False,False
00:34,5,1,239,1704612954,False,False
00:35,5,1,234,1704612955,False,False
00:36,5,1,246,1704612956,False,False
00:37,5,1,233,1704612957,False,False
00:38,5,1,237,1704612958,False,False
00:39,5,1,241,1704612959,False,False
00:40,5,1,245,1704612960,False,False
00:41,5,1,233,1704612961,False,False
00:42,5,1,236,1704612962,False,False
00:43,5,1,240,1704612963,False,False
00:44,5,1,247,1704612964,False,False
00:45,5,1,249,1704612965,False,False
00:46,5,1,244,1704612966,False,False
00:47,5,1,233,1704612967,False,False
00:48,5,1,234,1704612968,False,False
00:49,5,1,245,1704612969,False,False
00:50,5,1,240,1704612970,False,False
00:51,5,1,238,1704612971,False,False
